epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,32889,1.53952,0.7369,1.05348,0.91477,0.86082,0.91655,0.57536,1.38771,0.61826,1.03194,0.000169908,0.000169908,0.000169908
91,33118.3,1.43004,0.65266,1.05691,0.92011,0.8541,0.9159,0.57504,1.38952,0.61867,1.03224,0.000155761,0.000155761,0.000155761
92,33346.7,1.43895,0.65151,1.05077,0.91832,0.85341,0.91655,0.57555,1.39114,0.6199,1.03171,0.000141614,0.000141614,0.000141614
93,33562,1.42716,0.64888,1.05027,0.92134,0.85212,0.91538,0.57515,1.39127,0.62033,1.03068,0.000127467,0.000127467,0.000127467
94,33801.3,1.42972,0.64709,1.05066,0.92165,0.85062,0.91383,0.57557,1.39139,0.61902,1.0308,0.00011332,0.00011332,0.00011332
95,34097.8,1.42872,0.64177,1.04753,0.91837,0.8537,0.91499,0.5743,1.39257,0.61815,1.03105,9.91726e-05,9.91726e-05,9.91726e-05
96,34424.6,1.43099,0.6465,1.05008,0.92211,0.85311,0.91452,0.57319,1.39205,0.61885,1.03117,8.50255e-05,8.50255e-05,8.50255e-05
97,34674,1.42028,0.64246,1.04802,0.91473,0.85543,0.91424,0.57408,1.39211,0.61903,1.03092,7.08784e-05,7.08784e-05,7.08784e-05
98,34912.2,1.41488,0.63738,1.04759,0.91919,0.85382,0.91421,0.57601,1.39164,0.61824,1.0306,5.67313e-05,5.67313e-05,5.67313e-05
99,35167,1.4246,0.6381,1.0457,0.9178,0.85596,0.91488,0.57533,1.39159,0.61919,1.03026,4.25842e-05,4.25842e-05,4.25842e-05
100,35458.9,1.41994,0.63921,1.04598,0.91967,0.8547,0.91485,0.57636,1.39068,0.61864,1.02997,2.84371e-05,2.84371e-05,2.84371e-05
